exp_diff,exp_time,diffbyt,thisN,thisTrialN,thisRepN,slider.response,slider.rt,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,fixation.started,fix.started,fixation.stopped,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,targarrow.started,userArrow.started,yourperfexp.started,tarlabexp.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trial.outcome,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,trials_3.key_resp.rt,trials_3.key_resp.duration,feedback.started,feedback_practice_1.started,feedback.stopped,fix.stopped,feedback_practice_1.stopped,prog.stopped,redbar.stopped,yellowbar.stopped,greenbar.stopped,targarrow.stopped,userArrow.stopped,yourperfexp.stopped,tarlabexp.stopped,textbox.stopped,slider.stopped,key_resp.stopped,norm_arrow.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
easy1,120,3.0,0,0,0,None,None,6,2.457297874992946,None,,,,,0,0,0,0,0,0,0,0,0.01983141599339433,,0.01529862500319723,0.01983141599339433,0.5095176659960998,0.5237659580016043,0.549491208003019,0.549491208003019,0.549491208003019,0.549491208003019,0.549491208003019,0.549491208003019,0.549491208003019,0.549491208003019,0.549491208003019,0.549491208003019,0.549491208003019,0.549491208003019,3.0815490829991177,0,0.9,0.9,0,0,Correct!,None,None,6,2.457297874992946,None,3.085842083004536,3.094951207996928,4.082200791002833,,,,,,,,,,,,,,,pilot,001,2026-02-04_13h56.08.170,misty_module,,2025.2.4,None,2026-02-04 13h56.08.784803 +0000,
easy1,120,3.0,1,0,1,None,None,5,2.9912718330015196,None,,,,,0,0,0,0,1,0,1,0,4.090993958001491,,4.082352957993862,4.090993958001491,4.576046082991525,4.643962207992445,4.6552621250011725,4.6552621250011725,4.6552621250011725,4.6552621250011725,4.6552621250011725,4.6552621250011725,4.6552621250011725,4.6552621250011725,4.6552621250011725,4.6552621250011725,4.6552621250011725,4.6552621250011725,7.658587957994314,1,0.9,0.9,1,1,Correct!,None,None,5,2.9912718330015196,None,7.658832332992461,7.662270415996318,8.649185457994463,4.6552621250011725,8.657513915997697,,,,,,,,,,,,,pilot,001,2026-02-04_13h56.08.170,misty_module,,2025.2.4,None,2026-02-04 13h56.08.784803 +0000,
easy1,120,3.0,2,0,2,None,None,2,1.5823539569973946,None,,,,,0,0,0,0,2,0,2,0,8.657513915997697,,8.649352958003874,8.657513915997697,9.144877250000718,9.153766207993613,9.172191249992466,9.172191249992466,9.172191249992466,9.172191249992466,9.172191249992466,9.172191249992466,9.172191249992466,9.172191249992466,9.172191249992466,9.172191249992466,9.172191249992466,9.172191249992466,10.757954790999065,2,0.9,0.9,2,2,Correct!,None,None,2,1.5823539569973946,None,10.75817200000165,10.761879832993145,11.749107458002982,9.172191249992466,11.757427624994307,,,,,,,,,,,,,pilot,001,2026-02-04_13h56.08.170,misty_module,,2025.2.4,None,2026-02-04 13h56.08.784803 +0000,
easy1,120,3.0,3,0,3,None,None,7,5.153099457995268,None,,,,,0,0,0,0,3,0,3,0,11.757427624994307,,11.74927795799158,11.757427624994307,12.24518333299784,12.254219416005071,12.272148250005557,12.272148250005557,12.272148250005557,12.272148250005557,12.272148250005557,12.272148250005557,12.272148250005557,12.272148250005557,12.272148250005557,12.272148250005557,12.272148250005557,12.272148250005557,17.43628162499226,0,0.9,0.9,3,3,Correct!,None,None,7,5.153099457995268,None,17.436517915994045,17.440188291002414,18.425576915993588,12.272148250005557,18.429858624993358,,,,,,,,,,,,,pilot,001,2026-02-04_13h56.08.170,misty_module,,2025.2.4,None,2026-02-04 13h56.08.784803 +0000,
easy1,120,3.0,4,0,4,None,None,5,2.4831039989949204,None,,,,,0,0,0,0,4,0,4,0,18.429858624993358,,18.425724957996863,18.429858624993358,18.914871665998362,18.917760665994138,18.945018957994762,18.945018957994762,18.945018957994762,18.945018957994762,18.945018957994762,18.945018957994762,18.945018957994762,18.945018957994762,18.945018957994762,18.945018957994762,18.945018957994762,18.945018957994762,21.436365083005512,1,0.9,0.9,4,4,Correct!,None,None,5,2.4831039989949204,None,21.436680375001743,21.439840624996577,22.425686707996647,18.92361504099972,22.429899875001865,,,,,,,,,,,,,pilot,001,2026-02-04_13h56.08.170,misty_module,,2025.2.4,None,2026-02-04 13h56.08.784803 +0000,
easy1,120,3.0,5,0,5,None,None,7,4.189847123998334,None,,,,,0,0,0,0,5,0,5,0,22.429899875001865,,22.425862791002146,22.429899875001865,22.914835999996285,22.9235024160007,22.94587783300085,22.94587783300085,22.94587783300085,22.94587783300085,22.94587783300085,22.94587783300085,22.94587783300085,22.94587783300085,22.94587783300085,22.94587783300085,22.94587783300085,22.94587783300085,27.141387708004913,2,0.9,0.9,5,5,Correct!,None,None,7,4.189847123998334,None,27.14161525000236,27.146105082996655,28.131559040994034,22.927621249997173,28.140519708002103,,,,,,,,,,,,,pilot,001,2026-02-04_13h56.08.170,misty_module,,2025.2.4,None,2026-02-04 13h56.08.784803 +0000,
easy1,120,3.0,6,0,6,None,None,None,,,,,,,0,0,0,0,6,0,6,0,28.140519708002103,,28.131698333003442,28.140519708002103,28.62583900000027,28.62883904100454,28.6484747909999,28.6484747909999,28.6484747909999,28.6484747909999,28.6484747909999,28.6484747909999,28.6484747909999,28.6484747909999,28.6484747909999,28.6484747909999,28.6484747909999,28.6484747909999,36.7346310409921,0,0.9,0.9,6,6,Time-Out!,None,None,None,,,36.73879787500482,36.750171166000655,37.74130191600125,28.6484747909999,,36.750171166000655,36.750171166000655,36.750171166000655,36.750171166000655,36.750171166000655,36.750171166000655,36.750171166000655,36.750171166000655,36.750171166000655,36.750171166000655,36.750171166000655,36.750171166000655,pilot,001,2026-02-04_13h56.08.170,misty_module,,2025.2.4,None,2026-02-04 13h56.08.784803 +0000,
easy1,120,3.0,7,0,7,None,None,None,,,,,,,0,0,0,0,7,0,7,0,37.74472899999819,,37.74150279100286,37.74472899999819,38.229817625004216,38.23228983300214,38.248385832994245,38.248385832994245,38.248385832994245,38.248385832994245,38.248385832994245,38.248385832994245,38.248385832994245,38.248385832994245,38.248385832994245,38.248385832994245,38.248385832994245,38.248385832994245,46.34099170799891,0,0.9,0.9,6,7,Time-Out!,None,None,None,,,46.34122629099875,46.34464937499433,47.331957957998384,38.248385832994245,47.3404107499955,46.34464937499433,46.34464937499433,46.34464937499433,46.34464937499433,46.34464937499433,46.34464937499433,46.34464937499433,46.34464937499433,46.34464937499433,46.34464937499433,46.34464937499433,46.34464937499433,pilot,001,2026-02-04_13h56.08.170,misty_module,,2025.2.4,None,2026-02-04 13h56.08.784803 +0000,
easy1,120,3.0,8,0,8,None,None,None,,,,,,,0,0,0,0,8,0,8,0,47.3404107499955,,47.33210737499758,47.3404107499955,47.825617583002895,47.82897950000188,47.84798837499693,47.84798837499693,47.84798837499693,47.84798837499693,47.84798837499693,47.84798837499693,47.84798837499693,47.84798837499693,47.84798837499693,47.84798837499693,47.84798837499693,47.84798837499693,55.93412224999338,0,0.9,0.9,6,8,Time-Out!,None,None,None,,,55.93435637500079,55.939036665993626,56.92486529100279,47.84798837499693,56.928812790996744,55.939036665993626,55.939036665993626,55.939036665993626,55.939036665993626,55.939036665993626,55.939036665993626,55.939036665993626,55.939036665993626,55.939036665993626,55.939036665993626,55.939036665993626,55.939036665993626,pilot,001,2026-02-04_13h56.08.170,misty_module,,2025.2.4,None,2026-02-04 13h56.08.784803 +0000,
easy1,120,3.0,9,0,9,None,None,None,,,,,,,0,0,0,0,9,0,9,0,56.928812790996744,,56.92502162499295,56.928812790996744,57.41436791600427,57.42295104099321,57.44425229099579,57.44425229099579,57.44425229099579,57.44425229099579,57.44425229099579,57.44425229099579,57.44425229099579,57.44425229099579,57.44425229099579,57.44425229099579,57.44425229099579,57.44425229099579,65.51731962499616,0,0.9,0.9,6,9,Time-Out!,None,None,None,,,65.51755520800361,65.52239270799328,66.50760883299517,57.426748124998994,66.51105495799857,,,,,,,,,,,,,pilot,001,2026-02-04_13h56.08.170,misty_module,,2025.2.4,None,2026-02-04 13h56.08.784803 +0000,
