exp_diff,exp_time,diffbyt,thisN,thisTrialN,thisRepN,slider.response,slider.rt,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,fixation.started,fix.started,fixation.stopped,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,targarrow.started,userArrow.started,yourperfexp.started,tarlabexp.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trial.outcome,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,trials_3.key_resp.rt,trials_3.key_resp.duration,feedback.started,feedback_practice_1.started,feedback.stopped,fix.stopped,feedback_practice_1.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
easy1,120,3.0,0,0,0,None,None,5,2.391133915996761,None,,,,,0,0,0,0,0,0,0,0,0.020827542000915855,,0.01598591700894758,0.020827542000915855,0.5057311670097988,0.5197278749983525,0.5465884169971105,0.5465884169971105,0.5465884169971105,0.5465884169971105,0.5465884169971105,0.5465884169971105,0.5465884169971105,0.5465884169971105,0.5465884169971105,0.5465884169971105,0.5465884169971105,0.5465884169971105,3.0286663340084488,0,0.9,0.9,0,0,Correct!,None,None,5,2.391133915996761,None,3.03304300000309,3.0422295419994043,4.030088416999206,,,pilot,001,2026-02-04_14h55.34.496,misty_module,,2025.2.4,None,2026-02-04 14h55.35.109935 +0000,
easy1,120,3.0,1,0,1,None,None,6,2.039113874998293,None,,,,,0,0,0,0,1,0,1,0,4.034391792010865,,4.030275875004008,4.034391792010865,4.519410834007431,4.5281454590003705,4.546518000002834,4.546518000002834,4.546518000002834,4.546518000002834,4.546518000002834,4.546518000002834,4.546518000002834,4.546518000002834,4.546518000002834,4.546518000002834,4.546518000002834,4.546518000002834,6.59601466699678,1,0.9,0.9,1,1,Correct!,None,None,6,2.039113874998293,None,6.596227209010976,6.600869084009901,7.586353584003518,4.546518000002834,7.595107209010166,pilot,001,2026-02-04_14h55.34.496,misty_module,,2025.2.4,None,2026-02-04 14h55.35.109935 +0000,
easy1,120,3.0,2,0,2,None,None,3,3.4268489989917725,None,,,,,0,0,0,0,2,0,2,0,7.595107209010166,,7.586493042006623,7.595107209010166,8.080416084005265,8.088301750001847,8.105630167003255,8.105630167003255,8.105630167003255,8.105630167003255,8.105630167003255,8.105630167003255,8.105630167003255,8.105630167003255,8.105630167003255,8.105630167003255,8.105630167003255,8.105630167003255,11.54578537499765,2,0.9,0.9,2,2,Correct!,None,None,3,3.4268489989917725,None,11.545993000007002,11.54938774999755,12.53628137501073,8.105630167003255,12.544926375005161,pilot,001,2026-02-04_14h55.34.496,misty_module,,2025.2.4,None,2026-02-04 14h55.35.109935 +0000,
easy1,120,3.0,3,0,3,None,None,9,3.1152980829938315,None,,,,,0,0,0,0,3,0,3,0,12.544926375005161,,12.5364217919996,12.544926375005161,13.031193292001262,13.040977709009894,13.057944291998865,13.057944291998865,13.057944291998865,13.057944291998865,13.057944291998865,13.057944291998865,13.057944291998865,13.057944291998865,13.057944291998865,13.057944291998865,13.057944291998865,13.057944291998865,16.178947042004438,0,0.9,0.9,3,3,Correct!,None,None,9,3.1152980829938315,None,16.17915795900626,16.18381566699827,17.169833084000857,13.057944291998865,17.178191084007267,pilot,001,2026-02-04_14h55.34.496,misty_module,,2025.2.4,None,2026-02-04 14h55.35.109935 +0000,
easy1,120,3.0,4,0,4,None,None,9,3.2693797490064753,None,,,,,0,0,0,0,4,0,4,0,17.178191084007267,,17.169989125002758,17.178191084007267,17.665662250001333,17.669023125010426,17.68888058399898,17.68888058399898,17.68888058399898,17.68888058399898,17.68888058399898,17.68888058399898,17.68888058399898,17.68888058399898,17.68888058399898,17.68888058399898,17.68888058399898,17.68888058399898,20.96448516700184,1,0.9,0.9,4,4,Correct!,None,None,9,3.2693797490064753,None,20.964682959005586,20.977768459008075,21.962853167002322,17.68888058399898,21.967018959010602,pilot,001,2026-02-04_14h55.34.496,misty_module,,2025.2.4,None,2026-02-04 14h55.35.109935 +0000,
easy1,120,3.0,5,0,5,None,None,5,2.542910916992696,None,,,,,0,0,0,0,5,0,5,0,21.967018959010602,,21.962985874997685,21.967018959010602,22.45260991700343,22.455764042009832,22.47532675000548,22.47532675000548,22.47532675000548,22.47532675000548,22.47532675000548,22.47532675000548,22.47532675000548,22.47532675000548,22.47532675000548,22.47532675000548,22.47532675000548,22.47532675000548,25.028607416999876,2,0.9,0.9,5,5,Correct!,None,None,5,2.542910916992696,None,25.028803916997276,25.03156154199678,26.01966912500211,22.47532675000548,26.02818458400725,pilot,001,2026-02-04_14h55.34.496,misty_module,,2025.2.4,None,2026-02-04 14h55.35.109935 +0000,
easy1,120,3.0,6,0,6,None,None,8,2.887130791990785,None,,,,,0,0,0,0,6,0,6,0,26.02818458400725,,26.01981004200934,26.02818458400725,26.51437779200205,26.517585374996997,26.537202500010608,26.537202500010608,26.537202500010608,26.537202500010608,26.537202500010608,26.537202500010608,26.537202500010608,26.537202500010608,26.537202500010608,26.537202500010608,26.537202500010608,26.537202500010608,29.432863875001203,0,0.9,0.9,6,6,Incorrect!,None,None,8,2.887130791990785,None,29.435499625004013,29.444225209008437,30.429469000009703,26.537202500010608,30.43356658400444,pilot,001,2026-02-04_14h55.34.496,misty_module,,2025.2.4,None,2026-02-04 14h55.35.109935 +0000,
easy1,120,3.0,7,0,7,None,None,9,1.7101308330020402,None,,,,,0,0,0,0,7,0,7,0,30.43356658400444,,30.42960437500733,30.43356658400444,30.919011083999067,30.928428833998623,30.945052459006547,30.945052459006547,30.945052459006547,30.945052459006547,30.945052459006547,30.945052459006547,30.945052459006547,30.945052459006547,30.945052459006547,30.945052459006547,30.945052459006547,30.945052459006547,32.66582683401066,0,0.9,0.9,6,7,Correct!,None,None,9,1.7101308330020402,None,32.666021249999176,32.67713316700247,33.662945459000184,30.945052459006547,33.66710104201047,pilot,001,2026-02-04_14h55.34.496,misty_module,,2025.2.4,None,2026-02-04 14h55.35.109935 +0000,
easy1,120,3.0,8,0,8,None,None,2,2.9700835830008145,None,,,,,0,0,0,0,8,0,8,0,33.66710104201047,,33.66309254200314,33.66710104201047,34.151598834010656,34.154279542010045,34.173334000006435,34.173334000006435,34.173334000006435,34.173334000006435,34.173334000006435,34.173334000006435,34.173334000006435,34.173334000006435,34.173334000006435,34.173334000006435,34.173334000006435,34.173334000006435,37.14823674999934,1,0.9,0.9,7,8,Correct!,None,None,2,2.9700835830008145,None,37.14842433400918,37.16090020899719,38.14594358400791,34.173334000006435,38.150087292000535,pilot,001,2026-02-04_14h55.34.496,misty_module,,2025.2.4,None,2026-02-04 14h55.35.109935 +0000,
,,,9,0,9,,,,,,,,,,,,,,9,0,9,0,38.150087292000535,,38.14607062500727,38.150087292000535,38.63565387499693,38.638461334005115,38.65800995900645,38.65800995900645,38.65800995900645,38.65800995900645,38.65800995900645,38.65800995900645,38.65800995900645,38.65800995900645,38.65800995900645,38.65800995900645,38.65800995900645,38.65800995900645,,,,,,,,,,,,,,,,38.65800995900645,,,,,,,,,,
