exp_diff,exp_time,diffbyt,thisN,thisTrialN,thisRepN,slider.response,slider.rt,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,fixation.started,fix.started,fixation.stopped,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,targarrow.started,userArrow.started,yourperfexp.started,tarlabexp.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trial.outcome,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,trials_3.key_resp.rt,trials_3.key_resp.duration,feedback.started,feedback_practice_1.started,feedback_practice_1.stopped,feedback.stopped,fix.stopped,perf_feedback.started,text_5.started,key_resp_6.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
med2,120,6.0,0,0,0,None,None,4,6.19265283299319,None,,,,,0,0,0,3,0,0,0,0,0.020401375004439615,,0.0152543330041226,0.020401375004439615,0.5063931659969967,0.5188792080007261,0.5448574580077548,0.5448574580077548,0.5448574580077548,0.5448574580077548,0.5448574580077548,0.5448574580077548,0.5448574580077548,0.5448574580077548,0.5448574580077548,0.5448574580077548,0.5448574580077548,0.5448574580077548,6.848596541007282,0,0.9,0.9,0,0,Correct!,None,None,4,6.19265283299319,None,6.852940541008138,6.862095958000282,7.855197541008238,7.846142875001533,,,,,pilot,001,2026-02-04_14h05.34.470,misty_module,,2025.2.4,None,2026-02-04 14h05.35.064304 +0000,
med2,120,6.0,1,0,1,None,None,None,,,,,,,0,0,0,3,1,0,1,0,7.855197541008238,,7.84629866600153,7.855197541008238,8.340468207999947,8.351725665997947,8.368594208004652,8.368594208004652,8.368594208004652,8.368594208004652,8.368594208004652,8.368594208004652,8.368594208004652,8.368594208004652,8.368594208004652,8.368594208004652,8.368594208004652,8.368594208004652,18.34133212499728,1,0.9,0.9,1,1,Time-Out!,None,None,None,,,18.345373208008823,18.35448737500701,19.34428087499691,19.339915707998443,8.368594208004652,,,,pilot,001,2026-02-04_14h05.34.470,misty_module,,2025.2.4,None,2026-02-04 14h05.35.064304 +0000,
med2,120,6.0,2,0,2,None,None,None,,,,,,,0,0,0,3,2,0,2,0,19.34428087499691,,19.340061499999138,19.34428087499691,19.829662707998068,19.844867040999816,19.860254958010046,19.860254958010046,19.860254958010046,19.860254958010046,19.860254958010046,19.860254958010046,19.860254958010046,19.860254958010046,19.860254958010046,19.860254958010046,19.860254958010046,19.860254958010046,29.831863416009583,-1,0.9,0.9,1,2,Time-Out!,None,None,None,,,29.83207245799713,29.837174540996784,30.827367916004732,30.823199416001444,19.860254958010046,,,,pilot,001,2026-02-04_14h05.34.470,misty_module,,2025.2.4,None,2026-02-04 14h05.35.064304 +0000,
med2,120,6.0,3,0,3,None,None,None,,,,,,,0,0,0,3,3,0,3,0,30.827367916004732,,30.82333537499653,30.827367916004732,31.312515790996258,31.32094583300932,31.34222416600096,31.34222416600096,31.34222416600096,31.34222416600096,31.34222416600096,31.34222416600096,31.34222416600096,31.34222416600096,31.34222416600096,31.34222416600096,31.34222416600096,31.34222416600096,41.315477291005664,-1,0.9,0.9,1,3,Time-Out!,None,None,None,,,41.31568270800926,41.319956666004146,42.310380791008356,42.3064315829979,31.324916333003785,,,,pilot,001,2026-02-04_14h05.34.470,misty_module,,2025.2.4,None,2026-02-04 14h05.35.064304 +0000,
med2,120,6.0,4,0,4,None,None,None,,,,,,,0,0,0,3,4,0,4,0,42.310380791008356,,42.3065830830019,42.310380791008356,42.79521420800302,42.80216758300958,42.84367479100183,42.84367479100183,42.84367479100183,42.84367479100183,42.84367479100183,42.84367479100183,42.84367479100183,42.84367479100183,42.84367479100183,42.84367479100183,42.84367479100183,42.84367479100183,52.80487274999905,-1,0.9,0.9,1,4,Time-Out!,None,None,None,,,52.80510112500633,52.80915137499687,53.80435887500062,53.79565250000451,42.82133433299896,,,,pilot,001,2026-02-04_14h05.34.470,misty_module,,2025.2.4,None,2026-02-04 14h05.35.064304 +0000,
med2,120,6.0,5,0,5,None,None,None,,,,,,,0,0,0,3,5,0,5,0,53.80435887500062,,53.795798958002706,53.80435887500062,54.28946979100874,54.294789624997065,54.31460270800744,54.31460270800744,54.31460270800744,54.31460270800744,54.31460270800744,54.31460270800744,54.31460270800744,54.31460270800744,54.31460270800744,54.31460270800744,54.31460270800744,54.31460270800744,64.29074958300043,-1,0.9,0.9,1,5,Time-Out!,None,None,None,,,64.290964291009,64.3034219580004,65.29340154099918,65.28926725000201,54.31460270800744,,,,pilot,001,2026-02-04_14h05.34.470,misty_module,,2025.2.4,None,2026-02-04 14h05.35.064304 +0000,
med2,120,6.0,6,0,6,None,None,None,,,,,,,0,0,0,3,6,0,6,0,65.29340154099918,,65.2894170829968,65.29340154099918,65.77837833300873,65.78243729099631,65.80163504100346,65.80163504100346,65.80163504100346,65.80163504100346,65.80163504100346,65.80163504100346,65.80163504100346,65.80163504100346,65.80163504100346,65.80163504100346,65.80163504100346,65.80163504100346,75.7814759160101,-1,0.9,0.9,1,6,Time-Out!,None,None,None,,,75.78168991600978,75.78606075000425,76.77629666600842,76.77215212500596,65.80163504100346,,,,pilot,001,2026-02-04_14h05.34.470,misty_module,,2025.2.4,None,2026-02-04 14h05.35.064304 +0000,
med2,120,6.0,7,0,7,None,None,None,,,,,,,0,0,0,3,7,0,7,0,76.77629666600842,,76.77229604100285,76.77629666600842,77.27430354100943,77.28092120800284,77.30002375000913,77.30002375000913,77.30002375000913,77.30002375000913,77.30002375000913,77.30002375000913,77.30002375000913,77.30002375000913,77.30002375000913,77.30002375000913,77.30002375000913,77.30002375000913,87.28143675001047,-1,0.9,0.9,1,7,Time-Out!,None,None,None,,,87.28164562500024,87.28621787500742,88.27594933300861,88.27200516599987,77.30002375000913,,,,pilot,001,2026-02-04_14h05.34.470,misty_module,,2025.2.4,None,2026-02-04 14h05.35.064304 +0000,
med2,120,6.0,8,0,8,None,None,None,,,,,,,0,0,0,3,8,0,8,0,88.27594933300861,,88.2721335410024,88.27594933300861,88.76323945799959,88.76690308300022,88.7922314160096,88.7922314160096,88.7922314160096,88.7922314160096,88.7922314160096,88.7922314160096,88.7922314160096,88.7922314160096,88.7922314160096,88.7922314160096,88.7922314160096,88.7922314160096,98.77078125000116,-1,0.9,0.9,1,8,Time-Out!,None,None,None,,,98.77099975000601,98.77478512500238,99.7704265830107,99.76151750001009,88.7711529579974,,,,pilot,001,2026-02-04_14h05.34.470,misty_module,,2025.2.4,None,2026-02-04 14h05.35.064304 +0000,
med2,120,6.0,9,0,9,None,None,8,3.6278275000076974,None,,,,,0,0,0,3,9,0,9,0,99.7704265830107,,99.76164208300179,99.7704265830107,100.25532125000609,100.25883283300209,100.27698891599721,100.27698891599721,100.27698891599721,100.27698891599721,100.27698891599721,100.27698891599721,100.27698891599721,100.27698891599721,100.27698891599721,100.27698891599721,100.27698891599721,100.27698891599721,103.9068928330089,-1,0.9,0.9,1,9,Incorrect!,None,None,8,3.6278275000076974,None,103.90966791599931,103.919604833005,104.90966637500969,104.90521016600542,100.27698891599721,,,,pilot,001,2026-02-04_14h05.34.470,misty_module,,2025.2.4,None,2026-02-04 14h05.35.064304 +0000,
